from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246103924610401+1905418+0,246103924610401+1904430+0,1,
33,33,,,246108924610913+1905421+0,246108924610913+1904434+0,1,
33,33,,,246109524611754+1905421+0,246109524611754+1904434+0,1,
33,33,,,246104124610413+1905424+0,246104124610413+1904441+0,1,
33,33,,,246106124610634+1905425+0,246106124610634+1904442+0,1,
33,33,,,246106724610844+1905425+0,246106724610844+1904442+0,1,
33,33,,,246109524611752+1905425+0,246109524611752+1904442+0,1,
33,33,,,246109524611754+1905425+0,246109524611754+1904442+0,1,
33,33,,,246106724610844+1905433+0,246106724610844+1904453+0,1,
33,33,,,246103424610343+1904476+0,246103324610343+1904067+1,1,
33,33,,,246106724610844+1904479+0,246106724610844+1904070+1,1,
33,33,,,246105024611765+1904480+0,246103624611765+1904068+1,1,
33,33,,,246103324610342+1904492+1,246103324610332+1904093+1,1,
33,33,,,246103324610343+1904492+1,246103424610343+1904094+1,1,
33,33,,,246104624610561+1904495+1,246104624610561+1904097+1,1,
33,33,,,246106124610632+1904495+1,246106124610632+1904097+1,1,
33,33,,,246103924610401+1904509+1,246103924610401+1904103+1,1,
33,33,,,246106724610841+1904513+1,246106724610841+1904105+1,1,
33,33,,,246106724610844+1904513+1,246106724610844+1904105+1,1,
33,33,,,246106124610632+1904513+1,246106124610632+1904116+1,1,
33,33,,,246106724610841+1904513+1,246106724610841+1904116+1,1,
33,33,,,246106724610843+1904513+1,246106724610843+1904116+1,1,
33,33,,,246108924610913+1904513+1,246108924610913+1904116+1,1,
33,33,,,246109524611753+1904525+1,246109524611753+1904134+1,1,
33,33,,,246103424610343+1904528+1,246103324610343+1904166+1,1,
33,33,,,246104124610413+1904530+1,246104124610413+1904168+1,1,
33,33,,,246103424610343+1904559+1,246103424610343+1904187+1,1,
33,33,,,246106124610634+1904562+1,246106124610634+1904190+1,1,
33,33,,,246106724610842+1904562+1,246106724610842+1904190+1,1,
33,33,,,246108924610912+1904562+1,246108924610912+1904190+1,1,
33,33,,,246109524611754+1904562+1,246109524611754+1904190+1,1,
33,33,,,246104624610564+1904576+1,246104624610564+1904201+1,1,
33,33,,,246109524611754+1904577+1,246109524611754+1904201+1,1,
33,33,,,246103624610435+1904585+1,246103624610435+1904205+1,1,
33,33,,,246104624610561+1904587+1,246104624610561+1904206+1,1,
33,33,,,246106124610633+1904587+1,246106124610633+1904206+1,1,
33,33,,,246103924610402+1904594+1,246103924610402+1904223+1,1,
33,33,,,246104624610564+1904607+1,246104624610564+1904238+1,1,
33,33,,,246106124610632+1904607+1,246106124610632+1904238+1,1,
33,33,,,246106124610634+1904607+1,246106124610634+1904238+1,1,
33,33,,,246106724610841+1904607+1,246106724610841+1904238+1,1,
33,33,,,246103324610332+1904613+0,246103324610332+1901709+0,1,
33,33,,,246103924610402+1904613+0,246103924610402+1901709+0,1,
33,33,,,246104624610562+1904616+0,246104624610562+1901713+0,1,
33,33,,,246104624610563+1904616+0,246104624610563+1901713+0,1,
33,33,,,246104624610564+1904616+0,246104624610564+1901713+0,1,
33,33,,,246106124610634+1904616+0,246106124610634+1901713+0,1,
33,33,,,246106724610844+1904616+0,246106724610844+1901713+0,1,
33,33,,,246106724610844+1904622+0,246106724610844+1904251+0,1,
33,33,,,246103924610401+1904633+0,246103924610401+1904265+0,1,
33,33,,,246103924610402+1904633+0,246103924610402+1904265+0,1,
33,33,,,246106124610632+1904636+0,246106124610632+1904269+0,1,
33,33,,,246108924610913+1904636+0,246108924610913+1904269+0,1,
33,33,,,246103624610435+1904648+0,246103624611765+1904276+0,1,
33,33,,,246108924610912+1904650+0,246108924610912+1904278+0,1,
33,33,,,246109524611752+1904650+0,246109524611752+1904278+0,1,
33,33,,,246103924610402+1904661+0,246103924610402+1904290+0,1,
33,33,,,246104624610561+1904665+0,246104624610561+1904294+0,1,
33,33,,,246106124610634+1904665+0,246106124610634+1904294+0,1,
33,33,,,246105024611765+1904666+0,246103624611765+1904292+0,1,
33,33,,,246103324610332+1904667+0,246103324610332+1904302+0,1,
33,33,,,246103424610343+1904668+0,246103424610343+1904303+0,1,
33,33,,,246104624610562+1904671+0,246104624610562+1904306+0,1,
33,33,,,246104624610563+1904671+0,246104624610563+1904306+0,1,
33,33,,,246106724610843+1904671+0,246106724610843+1904306+0,1,
33,33,,,246108924610914+1904671+0,246108924610914+1904306+0,1,
33,33,,,246105024611765+1904672+0,246103624611765+1904304+0,1,
33,33,,,246103324610342+1904680+0,246103324610332+1904317+0,1,
33,33,,,246103624611765+1904681+0,246103624610435+1904319+0,1,
33,33,,,246106724610843+1904683+0,246106724610843+1904321+0,1,
33,33,,,246103324610343+1904690+0,246103424610343+1904339+0,1,
33,33,,,246103624610435+1904691+0,246103624610435+1904340+0,1,
33,33,,,246109524611751+1904693+0,246109524611751+1904342+0,1,
33,33,,,246109524611754+1904693+0,246109524611754+1904342+0,1,
33,33,,,246103624611765+1905014+0,246103624610435+1904369+0,1,
33,33,,,246104624610562+1905016+0,246104624610562+1904371+0,1,
33,33,,,246106124610632+1905016+0,246106124610632+1904371+0,1,
33,33,,,246106124610634+1905016+0,246106124610634+1904371+0,1,
33,33,,,246104624610562+1905089+0,246104624610562+1904381+0,1,
33,33,,,246104624610564+1905089+0,246104624610564+1904381+0,1,
33,33,,,246106124610633+1905089+0,246106124610633+1904381+0,1,
33,33,,,246106124610634+1905089+0,246106124610634+1904381+0,1,
33,33,,,246104624610561+1905107+0,246104624610561+1904387+0,1,
